"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hardware-based Cryptographic Accelerator for Post Quantum Era","L. Malina; P. Cibik; P. Jedlicka; D. Smekal; S. Ricci; J. Hrabovsky","Department of Telecommunications, FEEC, Brno University of Technology, Brno, Czech Republic; Department of Telecommunications, FEEC, Brno University of Technology, Brno, Czech Republic; Department of Telecommunications, FEEC, Brno University of Technology, Brno, Czech Republic; Department of Telecommunications, FEEC, Brno University of Technology, Brno, Czech Republic; Department of Telecommunications, FEEC, Brno University of Technology, Brno, Czech Republic; Netcope Technologies, a.s., Brno, Czech Republic",2021 13th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),"13 Dec 2021","2021","","","149","155","Emerging quantum computing brings many benefits in numerous applications and services as solving efficiently complex operations and problems. Nevertheless, quantum computing may also jeopardize current cryptography standard schemes by solving the problems used in these schemes. Therefore, new quantum-resistant cryptographic primitives and installations are required for the near future. In this work, we present a hardware-based cryptographic accelerator that provides resistance to quantum computer attacks. Directly in VHDL, we design and implement essential cryptographic functions which can be loaded to our accelerator equipped with the FPGA board. Our solution provides efficient encryption, signing, and hashing operations for securing the input data or network packets. Moreover, we create a high-level software demonstrator for setting and using these operations in the accelerator. The presented results prove that cryptography functions accelerated in our hardware-based solution are more efficient than software implementations. Therefore, our solution can provide high-speed and quantum-secure data processing.","2157-023X","978-1-6654-0219-4","10.1109/ICUMT54235.2021.9631686","Ministry of the Interior of the Czech Republic(grant numbers:VI20192022126); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9631686","Acceleration;Cryptography;FPGA;Hardware Implementation;Security;Quantum-Resistant Cryptography","Quantum computing;VHDL;Data processing;Software;Encryption;Telecommunications;Servers","","2","","20","IEEE","13 Dec 2021","25-27 Oct. 2021","25-27 Oct. 2021","IEEE","IEEE Conferences"
"PCIe Cryptographic Accelerator Based on Domestic FPGA","K. Zhao; W. Liu; Q. Mu; H. Wang; R. Li; Z. He","Inspur Electronic Information Industry Co., Ltd, Jinan Shandong, China; Inspur Electronic Information Industry Co., Ltd, Jinan Shandong, China; Inspur Electronic Information Industry Co., Ltd, Jinan Shandong, China; Inspur Electronic Information Industry Co., Ltd, Jinan Shandong, China; Shandong Inspur Artificial Intelligence Research Institute Co., Ltd, Jinan Shandong, China; School of lnformation Science and Engineering, University of Jinan, Jinan Shandong, China","2022 International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)","14 Nov 2022","2022","","","25","31","FPGA offers great advantages over ASICs (Application Specific Integrated Circuits) and software when being used for cryptographic applications. However, PCIe cryptographic cards are based on foreign FPGA chips such as Xilinx and Intel. In this paper, a system design and implementation method of high-speed PCIe cryptographic accelerator based on domestic FPGA is proposed, which implements SM4 algorithm. The system consists of hardware module, logic cryptographic algorithm module, host driver and API (Application Programming Interface) module. An optimized scheme for PCIe DMA is implemented in this paper. The PCIe Gen2*4 simultaneous read/write bandwidth is up to 14.08 Gbps with 88% utilization. Based-on pipeline mode, SM4 cryptographic algorithm achieves encryption/decryption speeds of 13.53/13.51 Gbps, respectively. The FPGA accelerated implementation is twice faster than the software implementation in both encryption and decryption modes. The cryptographic system is able to be used as an integral part of CPU-FPGA heterogeneous secure data cryptographic applications.","","978-1-6654-7020-9","10.1109/CCPQT56151.2022.00011","Shandong Provincial Natural Science Foundation(grant numbers:ZR2021LZH007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9939302","FPGA;PCIe;SM4;Cryptography","Application specific integrated circuits;Software algorithms;Pipelines;Bandwidth;Software;Encryption;Central Processing Unit","","1","","12","IEEE","14 Nov 2022","5-7 Aug. 2022","5-7 Aug. 2022","IEEE","IEEE Conferences"
"Efficient Implementation of Ring-Binary-LWE-based Lightweight PQC Accelerator on the FPGA Platform","P. He; T. Bao; Y. Tu; J. Xie","Department of Electrical and Computer Engineering, Villanova University, Villanova, PA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA",2023 IEEE 31st Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),"10 Jul 2023","2023","","","114","120","Post-quantum cryptography (PQC) has gained sub-stantial attention from various communities recently. Along with the ongoing National Institute of Standards and Technology (NIST) PQC standardization process that targets the general-purpose PQC algorithms, the research community is also looking for efficient lightweight PQC schemes. Among this direction of efforts, Ring-Binary-Learning-with-Errors (RBLWE)-based encryption scheme (RBLWE-ENC) is regarded as a promising lightweight PQC fitting Internet-of-Things (IoT) and edge computing applications. As hardware implementation for PQC algorithms has become one of the major advances in the field, in this paper, we follow this trend to present an efficient implementation of RBLWE-ENC lightweight accelerator on the field-programmable gate array (FPGA) platform. Overall, we have demonstrated three coherent interdependent stages of efforts: (i) we have presented detailed derivation processes to formulate the proposed algorithmic operation; (ii) we have then implemented the proposed algorithm into a desired hardware accelerator; and (iii) we provided thorough complexity analysis and comparison to showcase the superior performance of the proposed accelerator over the state-of-the-art designs, e.g., the proposed accelerator with $v=8$ has at least 66.67% less area-time complexities than the existing ones (Virtex-7 FPGA). We hope the outcome of this work can facilitate lightweight PQC development.","2576-2621","979-8-3503-1205-8","10.1109/FCCM57271.2023.00021","NSF(grant numbers:SaTC-2020625,NIST-60NANB20D203); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10171484","Efficient implementation;FPGA;lightweight PQC accelerator;Ring-Binary-Learning-with-Errors","Technological innovation;Fitting;Standardization;NIST;Market research;Complexity theory;Encryption","","","","41","IEEE","10 Jul 2023","8-11 May 2023","8-11 May 2023","IEEE","IEEE Conferences"
"FPGA Implementation of Kuznyechik Block Cipher with Improved Resource Efficiency","B. -A. Dao; D. -H. Le; N. -Q. Nguyen","The Academy of Cryptography Techniques, Hanoi, Vietnam; Institute of Cryptographic Science and Technology, Hanoi, Vietnam; The Academy of Cryptography Techniques, Hanoi, Vietnam",2025 2nd International Conference On Cryptography And Information Security (VCRIS),"21 Nov 2025","2025","","","1","5","Nowadays, the device area and power consumption of embedded, lightweight, and secure systems are tightly constrained. This raises a significant need for resource-optimized cryptographic solutions. This study presents a novel FPGA implementation of the Kuznyechik block cipher that significantly reduces hardware resource usage. When implemented on a Xilinx Kintex-7 FPGA device, the proposed design requires only 2,274 Slice Look-Up Tables (LUTs), 2,345 Slice Registers, and no Block RAM (BRAM). Compared to previous work, this implementation reduces hardware resource usage by up to 2.62 times, with a throughput reduction of approximately 2.34 times. The design architecture, resource optimization techniques, and experimental results are clearly explained in this paper.","","979-8-3315-6687-6","10.1109/VCRIS68011.2025.11250568","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250568","Cryptographic accelerator;Kuznyechik block cipher;FPGA implementation","Ciphers;Power demand;Random access memory;Information security;Throughput;Table lookup;Registers;Field programmable gate arrays;Optimization;Hardware acceleration","","","","7","IEEE","21 Nov 2025","30-31 Oct. 2025","30-31 Oct. 2025","IEEE","IEEE Conferences"
"Hardware design of cryptographic accelerator","M. Hulič; L. Vokorokos; N. Ádám; P. Fecil'ak","Department of Computers and Informatics, Technical University of Košice, Košice, Slovak Republic; Department of Computers and Informatics, Technical University of Košice, Košice, Slovak Republic; Department of Computers and Informatics, Technical University of Košice, Košice, Slovak Republic; Department of Computers and Informatics, Technical University of Košice, Košice, Slovak Republic",2018 IEEE 16th World Symposium on Applied Machine Intelligence and Informatics (SAMI),"26 Mar 2018","2018","","","000201","000206","The goal of this paper is representation of computing unit focused on implementation hardware cryptography accelerator. After analysis of assigned problem, there are next chapters dedicated to available solutions, comparison of them, the issues of cryptography and computer security, FPGA device in which the designed solution is verified and tested, the chapters dedicated to cryptography algorithm RSA. Chapters of synthesis have the specifically implemented and designed solution in programming languages of lower and higher level. In evaluation and conclusion chapter there are measurements on software and hardware level and comparison among them.","","978-1-5386-4772-1","10.1109/SAMI.2018.8324839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8324839","","Hardware;Field programmable gate arrays;Table lookup;Encryption;Public key;Informatics","","2","","26","IEEE","26 Mar 2018","7-10 Feb. 2018","7-10 Feb. 2018","IEEE","IEEE Conferences"
"POCA: A PYNQ Offloaded Cryptographic Accelerator on Embedded FPGA-Based Systems","R. A. Bertolini; F. Carloni; D. Conficconi; M. D. Santambrogio","Dipartimento di Elettronica, Informatica e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informatica e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informatica e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informatica e Bioingegneria, Politecnico di Milano, Milan, Italy",2024 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"26 Jul 2024","2024","","","194","194","The pervasiveness of embedded systems across edge and connected devices is challenging their design, as sharing data securely via AES encryption is computationally intensive. This work proposes POCA, an FPGA-accelerated HW/SW library that performs AES cryptographic primitives with different modes and the most used key sizes. The HW/SW approach of POCA showcases the benefits of accelerated cryptographic primitives and the flexibility of a unified platform interface across different embedded systems by exploiting the Python PYNQ framework. POCA matches the multicore ARM crypto extensions on an Ultrascale+ ZU3EG while overwhelming SW performance.","","979-8-3503-6460-6","10.1109/IPDPSW63119.2024.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10596481","HW/SW Library;Parallel AES;FPGA","Performance evaluation;Distributed processing;Embedded systems;Multicore processing;Conferences;Information sharing;Libraries","","","","5","IEEE","26 Jul 2024","27-31 May 2024","27-31 May 2024","IEEE","IEEE Conferences"
"Versatile Resource-shared Cryptographic Accelerator for Multi-Domain Applications","V. T. D. Le; H. L. Pham; T. H. Tran; Q. D. N. Nguyen; S. D. Thi; Y. Nakashima",Nara Institute of Science and Technology; Nara Institute of Science and Technology; Osaka Metropolitan University; Osaka Metropolitan University; Nara Institute of Science and Technology; Nara Institute of Science and Technology,2023 International Conference on IC Design and Technology (ICICDT),"6 Dec 2023","2023","","","104","107","SHA256, BLAKE256, BLAKE2s, Salsa20, and Chacha20 are crucial cryptographic algorithms used for data security in multi-domain applications. Consequently, there is a strong need for a flexible cryptographic hardware architecture that can efficiently handle various algorithms and provide excellent performance. Regrettably, existing cryptographic architectures do not meet the requirements for desired flexibility and high performance in these applications. Therefore, this paper introduces a novel resource-shared crypto accelerator (RCA) to achieve high flexibility and maximize hardware efficiency. The RCA applied two optimizations a register-sharing approach with multi-mode digest routers and an adder-sharing approach in flexible ALUs. Theoretical evaluation reveals that the RCA achieves 72% register sharing (104 out of 136) and 78.6% adder sharing (44 out of 56). Verification of RCA on Xilinx ZCU102 FPGA at the system-on-chip level is conducted to demonstrate its accuracy and efficacy. Furthermore, the RCA experimental results on multiple FPGAs show its remarkable flexibility and hardware efficiency. It outperforms existing works in terms of throughput (1.36-28.9 times) and area efficiency (1.14-2.45 times).","2691-0462","979-8-3503-1931-6","10.1109/ICICDT59917.2023.10332303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332303","FPGA;resource-shared;IoT;ASIC;cryptography;blockchain","Scalability;Computer architecture;Throughput;Registers;System-on-chip;Cryptography;Field programmable gate arrays","","3","","12","IEEE","6 Dec 2023","25-28 Sept. 2023","25-28 Sept. 2023","IEEE","IEEE Conferences"
"Lightweight Hardware Implementation of Binary Ring-LWE PQC Accelerator","B. J. Lucas; A. Alwan; M. Murzello; Y. Tu; P. He; A. J. Schwartz; D. Guevara; U. Guin; K. Juretus; J. Xie","Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Computer Science, Villanova University, Villanova, PA, USA; Department of Computer Science, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA",IEEE Computer Architecture Letters,"30 Mar 2022","2022","21","1","17","20","Significant innovation has been made in the development of public-key cryptography that is able to withstand quantum attacks, known as post-quantum cryptography (PQC). This paper focuses on the development of an efficient PQC hardware implementation. Specifically, an implementation of the binary Ring-learning-with-errors (BRLWE)-based encryption scheme, a promising lightweight PQC suitable for resource-constrained applications, is proposed. The paper first develops the mathematical formulation to present the proposed algorithmic process. The corresponding hardware accelerators are then described in detail. Finally, comparisons with previous implementations are provided to demonstrate the superior performance of the proposed design. For instance, the proposed low-complexity accelerator has 34.7% less area-delay product (ADP) than the state-of-the-art design for $n=256$n=256 in the field-programmable gate array (FPGA) platform. Apart from the efficiency of the hardware architectures, the proposed design also has a complete input/output processing setup, and thus is feasible for emerging lightweight applications.","1556-6064","","10.1109/LCA.2022.3160394","National Science Foundation(grant numbers:SaTC-2020625,NIST-60NANB20D203); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9737700","Binary Ring-LWE;complete processing setup;hardware design;lightweight post-quantum cryptography","Registers;Encryption;Standards;Hardware acceleration;Computers;Computer architecture;Arithmetic","","33","","22","CCBY","18 Mar 2022","1 Jan.-June 2022","","IEEE","IEEE Journals"
"A “Kuznyechik” Block Cipher Accelerator for RISC-V System-on-Chip","B. -A. Dao; N. -Q. Nguyen; C. -T. Nguyen","The Academy of Cryptography Techniques, Hanoi, Vietnam; The Academy of Cryptography Techniques, Hanoi, Vietnam; The Academy of Cryptography Techniques, Hanoi, Vietnam",2024 1st International Conference On Cryptography And Information Security (VCRIS),"27 Dec 2024","2024","","","1","5","Kuznyechik is the Russian symmetric block cipher algorithm that has been introduced in the National Standard of the Russian Federation GOST R 34.12-2015. It provides higher security against mathematical cryptanalysis at the cost of higher computing complexity. In this study, a Kuznyechik accelerator for RISC-V System-on-Chip is proposed to significantly improve the encryption/decryption times of the Russian symmetric block cipher algorithm. Compared to the execution time of an open-source Kuznyechik software implementation, that of the proposed accelerator is reduced by 1597.8 fold. The proposed accelerator has a maximum operating frequency of 124.01 MHz, with a maximum encryption/decryption throughput of 283.45 Mbps. When being deployed on a Xilinx Kintex-7 FPGA device, the proposed Kuznyechik accelerator utilizes a relatively small amount of hardware resources, including 6175 Slice Look-up-Tables (LUTs), 2725 Slice Registers and 4 Block RAM (BRAM), which is 9.74%, 2.15% and 2.96% of available Slice LUTs, Slice Registers and Block RAM, respectively.","","979-8-3315-2994-9","10.1109/VCRIS63677.2024.10813451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10813451","Cryptographic accelerator;Kuznyechik block cipher;FPGA implementation;RISC-V SoC","Ciphers;Software algorithms;Random access memory;Throughput;Table lookup;System-on-chip;Registers;Hardware acceleration;Field programmable gate arrays;Standards","","1","","8","IEEE","27 Dec 2024","3-4 Dec. 2024","3-4 Dec. 2024","IEEE","IEEE Conferences"
"Live Demonstration: An Area and Energy Efficient Reconfigurable Cryptographic Accelerator Based SoC Design for Securing IoT Devices","X. Zhang; B. Liu; L. Hu; Z. Shen; Z. He; D. Xu; B. H. Gwee; C. Wang","School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; Amicro Semiconductor Company Ltd., Zhuhai, China; Amicro Semiconductor Company Ltd., Zhuhai, China; School of Electrical and Electronic Engineering, Nanyang Technological University of Singapore; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China",2025 IEEE International Symposium on Circuits and Systems (ISCAS),"27 Jun 2025","2025","","","1","1","This demonstration presents an energy and area efficient Reconfigurable Cryptographic Accelerator (RCA) SoC for secure communication in IoT devices. Built on a ZYNQ-7000 development board, the platform supports multiple block ciphers (DES, AES, SM4) and Hash functions (SHA-1, SHA-2, SM3). Users can follow prompts on the OLED screen to select the cryptographic algorithm via buttons and input data through a keyboard or choose large text files from SD card. The ARM Core and accelerator execute the cryptographic operation simultaneously, and energy efficiency is calculated based on power and computing time, showcasing the improved computing speed and energy efficiency of the proposed accelerator.","2158-1525","979-8-3503-5683-0","10.1109/ISCAS56072.2025.11044193","National Key Research and Development Program of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11044193","","Hash functions;Ciphers;Program processors;Circuits and systems;Keyboards;Organic light emitting diodes;Energy efficiency;Internet of Things;Hardware acceleration","","","","3","IEEE","27 Jun 2025","25-28 May 2025","25-28 May 2025","IEEE","IEEE Conferences"
