"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Integral Sampler and Polynomial Multiplication Architecture for Lattice-based Cryptography","A. Wang; W. Tan; K. K. Parhi; Y. Lao","Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA",2022 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),"1 Dec 2022","2022","","","1","6","With the surge of the powerful quantum computer, lattice-based cryptography proliferated the latest cryptography hardware implementation due to its resistance against quantum computers. Among the computational blocks of lattice-based cryptography, the random errors produced by the sampler play a key role in ensuring the security of these schemes. This paper proposes an integral architecture for the sampler, which can reduce the overall resource consumption by reusing the multipliers and adders within the modular polynomial computation. For instance, our experimental results show that the proposed design can effectively reduce the discrete Ziggurat sampling method in DSP usage.","2765-933X","978-1-6654-5938-9","10.1109/DFT56152.2022.9962361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962361","Lattice-Based Cryptography;Post-Quantum Cryptography;Discrete Gaussian Sampling","Resistance;Quantum computing;Computer architecture;Very large scale integration;Sampling methods;Hardware;Cryptography","","2","","36","IEEE","1 Dec 2022","19-21 Oct. 2022","19-21 Oct. 2022","IEEE","IEEE Conferences"
"Multi-Sensor Data Fusion for Enhanced Detection of Laser Fault Injection Attacks in Cryptographic Hardware: Practical Results","M. Ebrahimabadi; R. Viera; S. Guilley; J. -L. Danger; J. -M. Dutertre; N. Karimi","University of Maryland Baltimore County, United States; Mines de Saint-Étienne, CEA, Leti, Centre CMP, Gardanne, France; Secure-IC S.A.S., France; Telecom Paris, Institut Polytechnique de Paris, France; Mines de Saint-Étienne, CEA, Leti, Centre CMP, Gardanne, France; University of Maryland Baltimore County, United States","2025 Design, Automation & Test in Europe Conference (DATE)","21 May 2025","2025","","","1","2","Though considered secure the cryptographic hardware can be compromised by fault injection attack, especially laser illumination due to its precision in targeting specific areas and its fine temporal control. To address this threat, this paper presents a low-cost detection scheme that utilizes Time-to-Digital Converters (TDCs) to sense the IR drops induced by laser illumination. To achieve a high detection rate while minimizing false alarms, the proposed approach incorporates multiple sensors, with as few as two sensors demonstrated in the study. The effectiveness of the scheme is validated using a real laser setup to illuminate a targeted AES module implemented on an AMD/Xilinx Artix-7 FPGA.","1558-1101","978-3-9826741-0-0","10.23919/DATE64628.2025.10992902","National Science Foundation(grant numbers:CNS-1943224); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992902","","Semiconductor lasers;Lighting;Europe;Data integration;Hardware;Sensors;Cryptography;Laser fusion;Field programmable gate arrays","","","","7","","21 May 2025","31 March-2 April 2025","31 March-2 April 2025","IEEE","IEEE Conferences"
"Multi-Probability Hash-based Random Number Generator for Post-Quantum Cryptography","A. Li.; J. Lu; D. Liu; A. Hu; X. Li; S. Yang; T. Huang","School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China; School of Integrated Circuits Huazhong University of Science and Technology, Wuhan, China",2023 IEEE 66th International Midwest Symposium on Circuits and Systems (MWSCAS),"31 Jan 2024","2023","","","694","697","The security of a cryptographic system depends on the reliability and irreversibility of random numbers. Secure Hash Algorithm-3 (SHA-3) is widely utilized in cryptography due to its robust security, computational efficiency, and versatile hashing capabilities. SHA-3 and discrete sampling are vital components in post-quantum cryptography, providing essential defense against quantum computing attacks. This paper presents a multi-probability random number generator for lattice-based post-quantum cryptography. The design utilizes a cascaded Keccak core and single-stage registers to build a SHA-3 module. Random numbers with different probability distributions are generated through variable binomial sampling, rejection sampling, and Gaussian sampling. The proposed design consumes 11520 LUTs and 3252 FFs at the frequency of 300MHz on the Xilinx UltraScale+ FPGA, achieving a throughput rate of 14.4Gbps. The ASIC evaluation indicates a hardware overhead of 68.5 kGE (NAND2) under the 40nm process. Compared with similar designs, our design demonstrates 11% and 27% frequency and throughput improvements under the same hardware resources, respectively.","1558-3899","979-8-3503-0210-3","10.1109/MWSCAS57524.2023.10406008","National Key Research and Development Program of China(grant numbers:2021YFA0715502); National Natural Science Foundation of China(grant numbers:61874163,62104076,62134002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10406008","Keccak;discrete sampling;efficiency;high throughput;hardware implementation","Throughput;Generators;Probability distribution;Hardware;Table lookup;Cryptography;Field programmable gate arrays","","","","10","IEEE","31 Jan 2024","6-9 Aug. 2023","6-9 Aug. 2023","IEEE","IEEE Conferences"
"Lightweight and CCA2-Secure Hardware Implementation of Binary Ring-LWE","K. Shahbazi; S. -B. Ko","Department of Electrical and Computer Engineering, University of Saskatchewan, Saskatchewan, Canada; Department of Electrical and Computer Engineering, University of Saskatchewan, Saskatchewan, Canada",2022 IEEE International Symposium on Circuits and Systems (ISCAS),"11 Nov 2022","2022","","","1170","1174","Due to increasing the number of connected devices to IoT network, providing end-to-end security is essential. Lattice-based cryptography (LBC) is a promising method for IoT by providing the reasonable security against classic and quantum attacks. Binary Ring-LWE is a type of LBC that is suitable for IoT devices. However, a reliable cryptosystem should also be secure against different side-channel attacks, such as power analysis or fault injection ones. In this work, a fault resilient hardware implementation for an optimized hardware design of Ring Binary LWE for resource-constraint IoT devices is presented. The design was implemented on the FPGA platform. The maximum frequency and occupied slices on Virtex-7 are 210.5MHz and 423, respectively. Based on the result, the proposed design occupied only 1% of the total available slices.","2158-1525","978-1-6654-8485-5","10.1109/ISCAS48785.2022.9937306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9937306","Binary Ring-LWE;Post-Quantum Cryptography;Fault resiliency;CCA2-Secure;Hardware implementation","Resistance;Circuits and systems;Side-channel attacks;Hardware;Internet of Things;Circuit faults;Reliability","","1","","23","IEEE","11 Nov 2022","27 May-1 June 2022","27 May-1 June 2022","IEEE","IEEE Conferences"
"Design and Implementation of a NTT Accelerator Based on RISC-V for PQC Kyber","N. Wang; L. Wu; L. Li; M. Chinbat; X. Zhang","School of Electronic Engineerings, Heilongjiang University, Harbin, China; School of Integrated Circuits, Tsinghua University, Beijing, China; School of Electronic Engineerings, Heilongjiang University, Harbin, China; School of Integrated Circuits, Tsinghua University, Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China","2024 IEEE 18th International Conference on Anti-counterfeiting, Security, and Identification (ASID)","17 Jan 2025","2024","","","24","27","RISC-V, as a new generation open-source Reduced Instruction Set Computing (RISC) architecture, has the advantages of low power consumption, small footprint, and high performance. Especially, RISC-V processors realized based on FPGA can be applied in different fields such as embedded systems, Artificial Intelligence (AI) chips, security devices and high-performance computing. It is foreseeable that a breakthrough in quantum computers will jeopardize all communications. Therefore, processors must integrate secure quantum computer anti-encryption techniques. Currently, the security and reliability aspects of processor implementations are still greatly underexplored. To address this gap, we propose three contributions. First, we augment the open-source IP Hummingbird E203 with a hardware module for implementing the Number-Theoretic Transform (NTT) operations of the Post-Quantum Cryptography (kyber). Second, we employ the hardware/software co-design techniques to accelerate NTT operations. Third, analyze the results of implementation. Prototyping was performed on FPGA to evaluate our designed processor NTT extension instructions. The cycle count for NTT operations is reduced by 84.55% and the instruction count is reduced by 81.25%. Enhanced computational efficiency applicable to information security systems under potential quantum computing threats is shown. The scalability of Post-Quantum Cryptography (kyber) based on riscv is realized.","2163-5056","979-8-3315-0563-9","10.1109/ASID63618.2024.10839700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10839700","Post Quantum Cryptograuphy(PQC);RISC-V;NTT;Hardware/Software Co-design","Computers;Program processors;Quantum computing;Reduced instruction set computing;Power demand;Scalability;Transforms;Cryptography;Reliability;Field programmable gate arrays","","3","","10","IEEE","17 Jan 2025","1-3 Nov. 2024","1-3 Nov. 2024","IEEE","IEEE Conferences"
"Reliable Code-Based Post-Quantum Cryptographic Algorithms through Fault Detection on FPGA","A. Cintas-Canto; M. Mozaffari-Kermani; R. Azarderakhsh","School of Technology and Innovation, Marymount University, Arlington, VA, USA; Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA; Department of Computer and Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, USA",2023 IEEE Nordic Circuits and Systems Conference (NorCAS),"6 Nov 2023","2023","","","1","5","Code-based cryptography is a promising post-quantum cryptographic solution against attacks enabled by classical and quantum computers. The Niederreiter cryptosystem is a well-known code-based cryptographic algorithm that has been traditionally scrutinized due to its key size and its computational requirements. However, with the advent of quantum computers, the Niederreiter cryptosystem is becoming more popular as it is thought that code-based cryptography is quantum resistant. Nevertheless, security does not mean reliability, and the finite field operational blocks used in some code-based algorithms are vulnerable to fault injection. This paper derives error detection mechanisms based on normal and interleaved parity for code-based cryptosystems. Moreover, such techniques are applied to the Key Generator of the Niederreiter cryptosystem and implemented on Xilinx field-programmable gate array (FPGA) family Kintex UltraScale+ (device xcku5p-ffvd900-1-i). This is done to assess the overheads and the decrease in performance when the derived fault detection techniques are included to the original designs.","","979-8-3503-3757-0","10.1109/NorCAS58970.2023.10305475","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305475","Fault detection;field-programmable gate array (FPGA);Niederreiter cryptosystem;post-quantum cryptography","Computers;Resistance;Performance evaluation;Quantum computing;Fault detection;Logic gates;Generators","","10","","16","IEEE","6 Nov 2023","31 Oct.-1 Nov. 2023","31 Oct.-1 Nov. 2023","IEEE","IEEE Conferences"
"Bitstream Fault Injection Attacks on CRYSTALS Kyber Implementations on FPGAs","Z. Ni; A. Khalid; W. Liu; M. O'Neill","Centre for Secure Information Technologies (CSIT), Queen's University Belfast, Belfast, UK; Centre for Secure Information Technologies (CSIT), Queen's University Belfast, Belfast, UK; College of Electronics and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Centre for Secure Information Technologies (CSIT), Queen's University Belfast, Belfast, UK","2024 Design, Automation & Test in Europe Conference & Exhibition (DATE)","10 Jun 2024","2024","","","1","6","CRYSTALS-Kyber is the only Public-key Encryption (PKE)/ Key-encapsulation Mechanism (KEM) scheme that was chosen for standardization by the National Institute of Standards and Technology initiated Post-quantum Cryptography competition (so called NIST PQC). In this paper, we show the first successfully malicious modifications of the bitstream of a Kyber FPGA implementation. We successfully demonstrate 4 different attacks on Kyber hardware implementations on Artix-7 FPGAs that either reduce the complexity of polynomial multiplication operations or enable direct secret key/ message recovery by: disabling BRAMs, disabling DSPs, zeroing NTT ROM and tampering with CBD2 results. Two of our attacks are generic in nature and the other two require reverse-engineering or a detailed knowledge of the design. We evaluate the feasibility of the four attacks, among which the zeroing NTT ROM and tampering with the CBD2 result attacks produce higher public key and ciphertext complexity and thus are difficult to be detected. Two countermeasures are proposed to prevent the attacks proposed in this paper.","1558-1101","978-3-9819263-8-5","10.23919/DATE58400.2024.10546550","National Natural Science Foundation of China(grant numbers:62022041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10546550","Post-quantum Cryptography (PQC);Lattice-based Cryptography (LBC);CRYSTALS-Kyber;FPGA security;bitstream fault injection","Protocols;Public key;Standardization;NIST;Polynomials;Hardware;Complexity theory","","4","","18","","10 Jun 2024","25-27 March 2024","25-27 March 2024","IEEE","IEEE Conferences"
"Post-Quantum Cryptography: Challenges and Opportunities for Robust and Secure HW Design","D. Bellizia; N. E. Mrabet; A. P. Fournaris; S. Pontié; F. Regazzoni; F. -X. Standaert; É. Tasso; E. Valea","Université Catholiaue de Louvain, Louvain-la-Neuvc, Belgium; Mines Saini-Étienne, CEA-Tech, Centre CMP, Gardanne, France; Industrial Systems Institute, Research Center ATHENA, Marousi, Greece; CEA-Leti, Univ. Grenoble Alpes, Grenoble, France; University of Amsterdam, Amsterdam, The Netherlands; Université Catholiaue de Louvain, Louvain-la-Neuvc, Belgium; CEA-Leti, Univ. Grenoble Alpes, Grenoble, France; Univ. Grenoble Alpes, CEA, List, Grenoble, France",2021 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),"19 Oct 2021","2021","","","1","6","Post-Quantum Cryptography (PQC) will become soon the standard for many systems of the future. With the advent of quantum computers, all encrypted communications based on traditional asymmetric cryptography (e.g., RSA, ECC) will become insecure. The definition the PQC standards is an on going process proceeding at a fast pace, involving new and largely unexplored cryptographic primitives. For this reason, the design of hardware implementations of PQC algorithms is still under study. In this paper, we introduce the fundamentals of PQC, with a focus on lattice-based cryptography and its hardware security issues, namely side-channel and fault-based attacks. Then, we focus on isogeny-based cryptography and the SIKE algorithm. We highlight the importance of fault-tolerant design choices through the presentation of a fault attack, based on the electromagnetic injection of transient faults, targeting this cryptographic primitive. Finally, we show an interesting idea that starts from the observation that some PQC algorithms have an intrinsic probabilistic behavior. We argue that this characteristic is a clear opportunity that paves the way for the application of approximate (or inexact) computing to the implementation of PQC cryptography.","2765-933X","978-1-6654-1609-2","10.1109/DFT52944.2021.9568301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9568301","","Fault tolerance;Quantum computing;Fault tolerant systems;Very large scale integration;Probabilistic logic;Hardware;Cryptography","","8","","48","IEEE","19 Oct 2021","6-8 Oct. 2021","6-8 Oct. 2021","IEEE","IEEE Conferences"
"Implementation of RSA Algorithm using FPGA and Analysis of Post Quantum Cryptography","K. R. Fernandes; S. Shreyas; S. Sinchana; D. Sathish; V. Kamath; Sanjana","Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India; Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India; Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India; Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India; Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India; Department of Electronics and Communication Engineering, St Joseph Engineering College Mangaluru, Karnataka, India",2025 International Conference on Electrical Engineering and Informatics (ICEEI),"21 Jan 2026","2025","","","1","6","The importance of secure communication has never been higher than it is in today's digital age. Among the many reliable and widely used approaches to public-key encryption, RSA remains a top choice. In this paper, we investigate the use of the Artix-7 FPGA board to implement RSA encryption in hardware. FPGA implementation improves speed, performance, and efficiency. The approach makes use of Montgomery multiplication to expedite modular exponentiation, the central operation in RSA. The complete architecture is built using Verilog HDL and synthesized with the Xilinx Vivado. The results demonstrate that FPGA-based RSA encryption provides superior speed and reliability. For embedded systems and IoT applications, this provides a very effective option for secure communication. The proposed implementation highlights how hardware acceleration can help to meet the increasing need for cryptographic security","2155-6830","979-8-3315-9271-4","10.1109/ICEEI68459.2025.11331029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11331029","RSA algorithm;hardware implementation;modular exponentiation;post quantum cryptography","Thermal engineering;Public key;Information age;Encryption;Reliability;Internet of Things;Hardware design languages;Quantum cryptography;Informatics;Field programmable gate arrays","","","","40","IEEE","21 Jan 2026","13-15 Nov. 2025","13-15 Nov. 2025","IEEE","IEEE Conferences"
"Implementation and Reliability Evaluation of a ChaCha20 Stream Cipher Hardware Accelerator","W. Grignani; K. G. Q. Santana; D. A. Santos; L. Dilillo; D. R. Melo","LEDS, University of Vale do Itajaí, Itajaí, Brazil; LEDS, University of Vale do Itajaí, Itajaí, Brazil; IES, CNRS, University of Montpellier, Montpellier, France; IES, CNRS, University of Montpellier, Montpellier, France; LEDS, University of Vale do Itajaí, Itajaí, Brazil",2024 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),"20 Nov 2024","2024","","","1","4","Cryptography is fundamental to ensuring the security and privacy of space communications, enabling the reliable exchange of sensitive data between spacecraft, ground stations, and other components of space infrastructure. However, using encryption can be computationally costly, resulting in lower throughput or higher latencies. One strategy to mitigate the costs imposed by cryptography is using accelerators. In addition, these systems that operate in space are susceptible to faults due to adverse conditions and require the implementation of protection techniques to mitigate these faults and ensure correct operation. In this context, this paper presents a fault-tolerant and high-performance encryption accelerator for the ChaCha20 stream cipher. We present a low-cost optimized implementation and a fault-tolerant version using Hamming Error Correction Code (ECC) and Triple Modular Redundancy (TMR). Results show that the optimized and hardened versions accelerated the application by 23 × and 17 × compared to the software solution. The optimized solution can process 281.25 MB/s, presenting a higher throughput than state-of-the-art works that rely on FPGA implementation. The hardened solution can process 187.50 MB/s, leading to an overhead of 1.52× more Look-Up Tables (LUTs) and 1.03× more Flip-Flops (FFs) compared to the optimized solution of this work.","2765-933X","979-8-3503-6688-4","10.1109/DFT63277.2024.10753530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753530","Cryptography;RFC 8439;Hardware Acceleration;Fault Tolerance","Ciphers;Costs;Particle accelerators;Fault tolerant systems;Throughput;Reliability engineering;Elliptic curve cryptography;Encryption;Table lookup;Error correction codes","","1","","14","IEEE","20 Nov 2024","8-10 Oct. 2024","8-10 Oct. 2024","IEEE","IEEE Conferences"
