"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Authentication of Large Data Using FALCON in IoT Heathcare Systems","D. G.; S. Sivaramakrishnan; S. S.; T. R.; M. N.","Department of Electronics and Communication Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham, India; Department of Electronics and Communication Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham, India; Department of Electronics and Communication Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham, India; Department of Electronics and Communication Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham, India; Department of Electronics and Communication Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham, India","2026 Second International Conference on Intelligent Systems for Communication, IoT and Security (ICISCoIS)","27 Mar 2026","2026","","","1","6","The emergence of quantum computing poses a threat to conventional cryptographic schemes, FALCON (Fast-Fourier Lattice-based Compact Signatures over NTRU) is a strong contender from NIST's post-quantum cryptography standardization. This proposal offers useful insights in implementing different hashing algorithms in FALCON post quantum cryptographic signature generation scheme. The authenticity of data in IoT is evaluated and ensured for a spirometry data of lung function monitoring system. The following hashing algorithms such as VORSHA (1D, 2D, and 3D), OSHA, SHA3, SHAKE-256, and BLAKE (2b and 3) were used for evaluation based on their signature generation and verification times for various bit sizes (256, 512, and 1024 bits). The findings show that the BLAKE family of algorithms, specifically BLAKE-3, is superior in terms of throughput and latency over other implementations and performs over 10-15% faster than SHAKE-256.","","979-8-3315-4596-3","10.1109/ICISCoIS62701.2026.11448068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448068","Post Quantum Cryptography (PQC);Fast-Fourier Lattice-based Compact Signatures over NTRU (FALCON);Signature Generation;Signature Verification;Internet of Things (IoT)","Spirometry;Three-dimensional displays;Quantum computing;Quantum dots;Standardization;Throughput;Hardware;Internet of Things;Proposals;Quantum cryptography","","","","17","IEEE","27 Mar 2026","8-10 Jan. 2026","8-10 Jan. 2026","IEEE","IEEE Conferences"
"Post-Quantum HAWK Signature Acceleration with RISC-V-Based Hardware-Software Co-Design","R. Shrivastava; U. Banerjee","Electronic Systems Engineering, Indian Institute of Science, Bengaluru, India; Electronic Systems Engineering, Indian Institute of Science, Bengaluru, India",2026 39th International Conference on VLSI Design & 25th International Conference on Embedded Systems (VLSID),"17 Mar 2026","2026","","","437","442","Advances in quantum computing technology have motivated the development of post-quantum cryptography (PQC) algorithms. HAWK is a new post-quantum digital signature scheme and the only lattice-based candidate selected for Round 2 of the “Additional Digital Signatures” phase of the NIST PQC Standardization process. HAWK offers compact key and signature sizes compared to NIST standard ML-DSA (Dilithium), and its simple design avoids the use of floating-point arithmetic unlike NIST standard FN-DSA (FALCON). This makes HAWK very well suited for resource-constrained applications. We perform software runtime profiling of HAWK signature computation and verification on a resource-efficient Vex RISC-V processor core, and identify Keccak permutations and polynomial transformations as the most computationally expensive functions. In this work, we demonstrate light-weight hardware-software co-design of HAWK with these operations accelerated using Vex RISC-V Custom Function Units and accompanying custom instructions. We present multiple design variants with different degrees of acceleration, and our best design achieves $\approx 3 \times$ speedup and $\approx 40 \%$ reduction in area-time-product compared to the baseline when implemented on a Xilinx Artix-7 FPGA.","2380-6923","979-8-3315-9040-6","10.1109/VLSID68508.2026.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11433250","post-quantum cryptography;digital signature;NIST PQC;HAWK;lattice;Keccak;NTT;FFT;Vex RISC-V;CFU;custom instructions;hardware acceleration;FPGA;IoT","Runtime;Quantum computing;Standardization;NIST Standards;NIST;Software;Polynomials;Cryptography;Digital signatures;Field programmable gate arrays","","","","20","IEEE","17 Mar 2026","3-7 Jan. 2026","3-7 Jan. 2026","IEEE","IEEE Conferences"
"FusionPhishGuard: An Attention-Enhanced Multi-Branch Framework for Intelligent Phishing Detection on Mobile and Web Platforms","Y. Yallavula; P. Srikanth; M. K. Sunkara; V. Tangella","Department of AIML, CBIT, Gandipet, Hyderabad, India; Department of AIML, CBIT, Gandipet, Hyderabad, India; Department of AIML, CBIT, Gandipet, Hyderabad, India; Department of AIML, CBIT, Gandipet, Hyderabad, India",2026 18th International Conference on COMmunication Systems and NETworks (COMSNETS),"10 Mar 2026","2026","","","1379","1384","Phishing attacks continue to be a major cybersecurity threat across both web and mobile ecosystems, leading to financial losses and compromised user data. Traditional detection systems relying on handcrafted features or single-source models often fail to generalize across diverse platforms and evolving attack strategies. To address these challenges, we propose Fusion-PhishGuard, an attention-enhanced, multi-branch deep learning framework designed for intelligent phishing detection across mobile and web environments. The framework performs multi-granular tokenization and integrates heterogeneous embedding paradigms—classical word embeddings (Word2Vec, FastText), Transformer encoders (BERT, RoBERTa, MiniBERT), and large language models (Qwen, Falcon)—to extract lexical, contextual, and semantic cues from URLs and mobile web links. A gated fusion-attention mechanism adaptively learns the importance of each embedding branch, while a BiLSTM-based sequential classifier captures ordered morphological and linguistic dependencies. Experiments conducted on two benchmark datasets, CatchPhish and PhishDump, demonstrate that FusionPhishGuard consistently outperforms baseline machine learning and deep learning models in accuracy, precision, recall, and F1-score. The proposed framework provides a unified, interpretable, and computationally efficient defense mechanism against evolving phishing attacks in modern mobile and web platforms.","2155-2509","979-8-3315-9239-4","10.1109/COMSNETS67989.2026.11418241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11418241","Phishing detection;mobile and web security;attention mechanism;multi-branch deep learning;word embeddings;transformer;large language models (LLMs);BiLSTM;fusion framework","Deep learning;Accuracy;Phishing;Large language models;Biological system modeling;Semantics;Logic gates;Benchmark testing;Transformers;Feature extraction","","","","26","IEEE","10 Mar 2026","6-10 Jan. 2026","6-10 Jan. 2026","IEEE","IEEE Conferences"
"Teaching Small LLMS to Reason Using Reinforcement Learning","S. Yadav; N. K. Verma","Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India",2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC),"25 Feb 2026","2026","","","1347","1353","This manuscript presents a reinforcement learning (RL)-based framework to enhance the mathematical reasoning capabilities of large language models (LLMs) using Group Relative Policy Optimization (GRPO). Our study focuses on two parameter-efficient variants of the Qwen2.5 model family: Qwen2.5-0.5B and Qwen2.5-3B, which are fine-tuned on the GSM8K dataset, a benchmark for middle school mathematics problems. To guide the models toward producing accurate, wellstructured, and interpretable solutions, we design a custom reward function that promotes correctness, coherent reasoning steps, and consistent output formatting. Experimental results show that the proposed RL framework significantly enhances the reasoning performance of both models. Specifically, Qwen2.5-0.5B achieves an accuracy improvement from 0.08% to 27.64%, outperforming much larger models such as GPT-3 (175B, 25%) and LLaMA-1 (65B, 20%), while Qwen2.5-3B improves from 55.1% to 74.6%, surpassing models like Minerva (540B), Falcon-180B, and LLaMA-2-70B. Overall, this work demonstrates that reinforcement learning, when combined with carefully designed reward functions and efficient adaptation techniques, can unlock strong reasoning performance in lightweight LLMs, making them viable for deployment in real-world, resource-constrained environments.","","979-8-3315-9397-1","10.1109/CCWC67433.2026.11393811","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11393811","Large language models;Reinforcement learning;Artificial Intelligence;Machine Learning;Group Relative Policy Optimization (GRPO)","Adaptation models;Accuracy;Large language models;Conferences;Education;Reinforcement learning;Benchmark testing;Cognition;Mathematical models;Optimization","","","","15","IEEE","25 Feb 2026","5-7 Jan. 2026","5-7 Jan. 2026","IEEE","IEEE Conferences"
"No Atomics, No Problem. Developing a RAG Pipeline for Shared CXL Memory","A. Bratterud; G. Dankel; A. Farajianzadeh; J. Groves; C. Juan; J. Suetterlein; A. Márquez; P. Gustad; A. E. Ingulstad","Scalemem AS, Oslo, Norway; Scalemem AS, Oslo, Norway; Scalemem AS, Oslo, Norway; Micron Technology, Inc., Boise, ID, USA; H3 Platform, Inc., New Taipei City, Taiwan; Pacific Northwest National Laboratory, Richland, WA, USA; Pacific Northwest National Laboratory, Richland, WA, USA; Scalemem AS, Oslo, Norway; Scalemem AS, Oslo, Norway",IEEE Transactions on Computers,"17 Mar 2026","2026","75","4","1291","1308","We share early experiments with software development for shared CXL memory on the H3 Falcon C5022 CXL switch. We describe how the different stages in the development of a commercial RAG pipeline were impacted by the presence of CXL memory. All of Wikipedia is split into 46 million text passages which are embedded into a high-dimensional embedding space and subjected to heavy load in single- and multi-host experiments. We observe significant performance advantages available to DuckDB and Faiss without changing the software; we measure up to 12x latency reduction with real workloads and 40x reduction with synthetic workloads on CXL, compared to the same queries run with demand paging on NVMe. We explain the current challenges of working with two disjoint cache coherency domains and explain how the Fabric-Attached Memory File System (famfs) and famfs producer-consumer queues provide synchronization patterns without atomic operations on current x86 CPUs. We then discuss open challenges remaining for high performance atomics and locking mechanisms in shared memory. Lastly we show how famfs page-level interleaving enables near-linear throughput scaling when a second host serves queries from the same Faiss index on shared fabric-attached memory and how shared memory allocations can be orchestrated by Kubernetes in a full vertical RAG deployment.","1557-9956","","10.1109/TC.2026.3667821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11408866","CXL;RAG;systems software","Switches;Retrieval augmented generation;Kernel;Random access memory;Databases;Resource management;Software;Nonvolatile memory;Linux;Hardware","","","","36","IEEE","24 Feb 2026","April 2026","","IEEE","IEEE Journals"
"NIST Post-Quantum Cryptography Standards: A Comprehensive Review of Theoretical Foundations and Implementations","Q. D. Truong; H. Nguyen; T. Tan Nguyen; H. Lee","Department of Electrical and Computer Engineering, Inha University, Incheon, South Korea; School of Informatics, Computing, and Cyber Systems, Northern Arizona University, Flagstaff, AZ, USA; Department of Electrical and Computer Engineering, Center for Advanced Power Systems, FAMU-FSU College of Engineering, Florida State University, Tallahassee, FL, USA; Department of Electrical and Computer Engineering, Inha University, Incheon, South Korea",IEEE Access,"30 Jan 2026","2026","14","","14069","14097","The transition to post-quantum cryptography (PQC) marks a pivotal shift in ensuring digital security, prompted by the potential of quantum computers to compromise classical systems such as Rivest-Shamir-Adlema and elliptic-curve cryptography. In response, NIST has standardized three foundational PQC algorithms: Module-lattice-based Key-encapsulation Mechanism for key establishment; Module-lattice-based Digital Signature, and Stateless Hash-based Digital Signature algorithms for digital signatures. Meanwhile, FALCON and Hamming Quasi-cyclic (HQC) schemes, both selected as finalists, are expected to join the standards soon. This paper presents a comprehensive survey of these NIST-selected PQC standards, with a dual focus on software implementations and hardware architecture designs. We analyze their mathematical frameworks, distinctive features, and optimization strategies related to performance, security, and resource efficiency. The software review examines algorithmic complexity, memory usage, and programming considerations, while the hardware review discusses FPGA and ASIC implementations, emphasizing modular arithmetic, polynomial operations, and resource efficiency challenges. A comparative analysis highlights the strengths and trade-offs of each algorithm, offering insights into their applicability across various platforms-from resource-constrained internet of things devices to high-performance computing environments. This study provides a foundational understanding of NIST’s selected PQC standards and their practical deployment in securing the post-quantum era.","2169-3536","","10.1109/ACCESS.2026.3654142","Institute of Information and Communications Technology Planning and Evaluation (IITP)- Information Technology Research Center (ITRC) Grant funded by Korean Government through the Ministry of Science and ICT (MSIT)(grant numbers:RS-2021-II212052); Commercialization Promotion Agency for Research and Development Outcomes (COMPA) funded by MSIT(grant numbers:RS-2025-02219156); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11352813","Post-quantum cryptography (PQC);key-encapsulation mechanism (KEM);digital signature algorithm (DSA);hardware architecture design;software optimization","Standards;NIST;Reviews;Software algorithms;Hardware;Digital signatures;Vectors;Software;Quantum computing;Public key","","","","151","CCBY","14 Jan 2026","2026","","IEEE","IEEE Journals"
"Institutional Approaches to Post-Quantum Cryptography: A Comparative Analysis of Migration Frameworks","M. E. Bizri; A. M. El-Hajj; L. Sliman; A. M. Haidar","Electrical and Computer Engineering Department, Beirut Arab University, Beirut, Lebanon; Olayan School of Business, American University of Beirut, Beirut, Lebanon; Efrei Paris, Panthéon Assas University, Paris, France; Electrical and Computer Engineering Department, Beirut Arab University, Beirut, Lebanon",IEEE Access,"9 Jan 2026","2026","14","","3259","3283","The advancement of quantum computing is increasingly recognized as a significant threat to classical public-key cryptographic systems, triggering a global shift toward Post-Quantum Cryptography (PQC). This article presents a topical survey and comparative analysis of the transition strategies adopted by leading cybersecurity agencies—including National Institute of Standards and Technology (NIST), Agence Nationale de la Sécurité des Systémes d’Information (ANSSI), Bundesamt für Sicherheit in der Informationstechnik (BSI), Cryptography Research and Evaluation Committees (CRYPTREC), and European Union Agency for Cybersecurity (ENISA). The technical foundations of standardized PQC algorithms (Module Lattice-Key Encapsulation Mechanism (ML-KEM), Module Lattice-Digital Signature Algorithm (ML-DSA), Fast-Fourier Lattice-based Compact Signatures over NTRU (FALCON), and Stateless Hashbased- Digital Signature Algorithm (SLH-DSA)) are reviewed, alongside a critical examination of hybrid cryptography, crypto-agility, and strategic alignment on standards and migration principles, despite jurisdictional differences in policy enforcement. The survey highlights shared priorities, such as phased implementation, backward compatibility, and risk mitigation via hybrid adoption. To enhance analytical depth, the study introduces the Institutional–Sectoral PQC Migration Convergence Framework, linking institutional pillars to sectoral readiness for reproducible comparative assessment. National strategies are shown to serve as potential roadmaps for global institutions, underscoring the importance of international coordination and adaptability. These insights support the development of secure, interoperable, and future-proof cryptographic infrastructures in the quantum era, operationalized via the proposed 10-step migration playbook.","2169-3536","","10.1109/ACCESS.2025.3650465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11322683","Algorithm standardization;ANSSI;BSI;CRYPTREC;crypto-agility;cryptographic migration;ENISA;hybrid encryption;international cybersecurity strategies;NIST;policy alignment;post-quantum cryptography;quantum-resistant algorithms","Cryptography;NIST;Computer security;Quantum computing;Standards;Lattices;Encryption;Surveys;Protocols;Digital signatures","","","","124","CCBY","2 Jan 2026","2026","","IEEE","IEEE Journals"
"A Falcon Signature Verification Accelerator Using Area-Efficient NTT Architecture With Simplified Barrett Modular Multiplier","H. Hu; Y. Chu; G. Du; X. Wang; Y. Song; D. Zhang; Z. Li","School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"25 Feb 2026","2026","34","3","860","871","Falcon is a lattice-based post-quantum digital-signature scheme standardized by U.S. National Institute of Standards and Technology (NIST). As for its hardware implementation, signature verification is the critical operation, in which the polynomial multiplier and the hash generator are computationally intensive. Existing hardware implementations face an inherent resource–performance tradeoff in the multiplier, and the overall verification latency remains high. In this article, we present an accelerator for Falcon signature verification using area-efficient number-theoretic transform (NTT) architecture with simplified Barrett modular multiplier. The precomputed constant of Barrett modular-multiplication unit is adjusted from 21 845 to 21 840. This modification maintains computation correctness while lowering resource consumption and improving throughput, which serves as an efficient building block for NTT/inverse NTT (INTT) operations. Moreover, a fully pipelined, nonstored radix-2 multipath delay commutator (R2-MDC) architecture is adopted for the NTT/INTT, which effectively reduces the delay and achieves a more balanced resource–performance tradeoff. Both the polynomial multiplier and the hash generator are parallelized to improve performance. A complete Falcon-1024 signature verification accelerator is implemented on FPGA platform. Experimental results show that, for the two-stage NTT inside the multiplier, the proposed design attains the lowest area–time product (ATP) compared to state-of-the-art designs, and the ATP of the entire Falcon-1024 verification procedure is reduced by 50%.","1557-9999","","10.1109/TVLSI.2025.3644227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11317796","Barrett reduction (BR);Falcon;hash generation;modular multiplication;multipath delay commutator (MDC);number-theoretic transform (NTT);signature verification","Polynomials;Handwriting recognition;Hardware;NIST;Delays;Transforms;Throughput;Optimization;Very large scale integration;Pipelines","","","","27","IEEE","29 Dec 2025","March 2026","","IEEE","IEEE Journals"
"Literate Programming With LLMs? — A Study on Rosetta Code and CodeNet","S. Sun; M. Staron","Department of Computer Science and Engineering, Chalmers University of Technology and University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers University of Technology and University of Gothenburg, Gothenburg, Sweden",IEEE Transactions on Software Engineering,"12 Feb 2026","2026","52","2","468","487","Literate programming, a concept introduced by Knuth in 1984, emphasized the importance of combining human-readable documentation with machine-readable code as writing literate programs is a prerequisite for software quality. Our objective with this paper is to evaluate whether generative AI models, Large Language Models (LLM) like GPT-4, LLaMA or Falcon, are capable of literate programming because of their extensive use in software engineering. To truly achieve literate programming, LLMs must generate natural language descriptions and corresponding code with aligned semantics based on user prompts. In addition, their internal representation of programs should allow us to recognize both programming languages and their descriptions. To evaluate their capabilities, we conducted a study using the Rosetta Code and CodeNet repositories. We perform four computational experiments using the Rosetta Code repository, encompassing 1,228 tasks across 926 programming languages, and validate our findings on the larger CodeNet dataset, which includes 55 tasks and 52 languages. Our findings show that LLMs in the trillion-parameter class are capable of literate programming, while models in the million- and billion-parameter classes are better at recognizing programming languages than tasks. Based on these results, we conclude that modern LLMs inhibit a deeper ability to encode programming languages and the semantics of programming tasks, bringing us closer to realizing the full potential of literate programming.","1939-3520","","10.1109/TSE.2025.3629828","National Academic Infrastructure for Supercomputing in Sweden (NAISS); Vetenskapsrådet(grant numbers:2024-22-1517,2025-22-1040,2025-22-1115,2025-22-467,2024-04687); University of Gothenburg, Chalmers; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11230298","Large Language Model (LLM);literate programming;computation experiment;code-related tasks","Programming;Codes;Computer languages;Computational modeling;Source coding;Programming profession;Natural languages;Semantics;Predictive models;Weaving","","","","59","IEEE","5 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Falcon: A Mobile Semantic Visual Perception Framework Enlightened by Human Vision Systems","X. Hou; Y. Guan; T. Han","University of Maine, Orono, ME, USA; University of Maine, Orono, ME, USA; New Jersey Institute of Technology, Newark, NJ, USA",IEEE Transactions on Mobile Computing,"4 Feb 2026","2026","25","3","3776","3793","In the realm of computer human visual perception, semantic perception means recognizing objects, people, and scenes. This involves not just detecting shapes and colors but understanding what those visual elements represent. Despite its vital role in enhancing various aspects of emerging applications such as safety for autonomous driving and immersion for mixed reality (MR), real-time segmentation on mobile and edge platforms is challenging due to the nature of dense pixel labeling. To address this issue, we propose $\sf {Falcon}$Falcon, a lightweight focus-aware segmentation framework that effectively integrates multiple innovations to achieve real-time segmentation on resource-constrained mobile and edge devices. We design a novel, low-dimension feature for efficient pixel labeling with shallow neural networks, an agile focus-aware refining scheme to compensate for the coarse nature of holistic segmentation, and a modularized design to accommodate the diversity of mobile and edge platforms and ensure seamless integration with different segmentation models. We build a prototype implementation of $\sf {Falcon}$Falcon that supports both on-device executions and edge-assisted offloading, and asynchronous segmentation and refinement. We extensively evaluate the performance of $\sf {Falcon}$Falcon for autonomous driving and MR applications with real setups and standard datasets. Our results demonstrate that $\sf {Falcon}$Falcon achieves real-time segmentation, with an impressive rate of up to 40 frames per second.","1558-0660","","10.1109/TMC.2025.3623469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224635","edge computing;efficient AI;segmentation","Image segmentation;Computational modeling;Real-time systems;Autonomous vehicles;Semantics;Adaptation models;Virtual reality;Videos;Image edge detection;Accuracy","","","","150","IEEE","3 Nov 2025","March 2026","","IEEE","IEEE Journals"
