"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A 0.05mm2 1.19-to-7.34mW SQIsign-1D Isogeny-Based Post-Quantum Signature Verification Accelerator for IoT","K. S. T. Ramapragada; U. Banerjee","Indian Institute of Science, Bengaluru, India; Indian Institute of Science, Bengaluru, India",2026 IEEE International Solid-State Circuits Conference (ISSCC),"3 Mar 2026","2026","69","","432","434","This work presents a $0.05 \text{mm}^{2}$ and 1.19 -to- 7.34 mW hardware accelerator for the isogeny-based NIST post-quantum digital signature candidate SQIsign. Our Montgomery multiplier design enables $2 \times$ speedup and energy savings, and efficient memory organization provides 31% area savings. We demonstrate SQIsign-1D uncompressed signature verification in a small form factor for IoT applications with order of magnitude improvement in performance and energy-efficiency compared to assembly-optimized software.","2376-8606","979-8-3315-8936-3","10.1109/ISSCC49663.2026.11408981","Indian Institute of Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11408981","","Handwriting recognition;Memory management;Energy conservation;Organizations;NIST;Software;Energy efficiency;Solid state circuits;Internet of Things;Hardware acceleration","","","","20","IEEE","3 Mar 2026","15-19 Feb. 2026","15-19 Feb. 2026","IEEE","IEEE Conferences"
"An FPGA Accelerator for Extended Gaussian Elimination in WAVE","C. Chen; R. Niederhagen; Y. -L. Ueng","Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Institute of Information Science, Academia Sinica, Taipei, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan",IEEE Embedded Systems Letters,"","2026","PP","99","1","1","This paper presents a hardware accelerator for extended Gaussian elimination (ExtGaussElim), targeting the WAVE post-quantum signature scheme. ExtGaussElim is the primary performance bottleneck in WAVE, and we propose three key contributions to improve its hardware implementation. First, we design a novel processing unit that minimizes the variety of operations required over the Galois Field GF(3), streamlining the Gaussian elimination process. Second, we develop a reconfigurable architecture that supports flexible performance scaling. Third, we introduce an optimized data memory layout to reduce the hardware resource footprint. The proposed ExtGaussElim accelerator is implemented and evaluated on the xc7a200t. To the best of our knowledge, this work presents the first hardware implementation of ExtGaussElim. The proposed ExtGaussElim accelerator is implemented and evaluated on the Digilent Arty Z7-10 FPGA board. To the best of our knowledge, this work presents the first hardware implementation of ExtGaussElim. Experimental results demonstrate a 6.25× speed-up over a CPU-based implementation and an over 100× speed-up without considering software data transformation, highlighting the significant performance advantage of the hardware accelerator.","1943-0671","","10.1109/LES.2026.3660739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11370891","Post-Quantum Cryptography;Post-Quantum Signature Scheme;Field Programmable Gate Array;Systolic Architecture","Systolic arrays;Systematics;Computer architecture;Decoding;Generators;Parallel processing;Vectors;Matrices;Codes;NIST","","","","","IEEE","3 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Design and FPGA Implementation of a NTT Hardware Accelerator for PQC ML-DSA","S. Zhu; L. Wu; L. Li; Y. Yang; X. Zhang","Electronic Engineering College, Heilongjiang University, Harbin, China; School of Integrated Circuit, Tsinghua University, Beijing, China; Electronic Engineering College, Heilongjiang University, Harbin, China; School of Integrated Circuit, Tsinghua University, Beijing, China; School of Integrated Circuit, Tsinghua University, Beijing, China",2025 10th International Conference on Integrated Circuits and Microsystems (ICICM),"1 Jan 2026","2025","","","86","91","In this paper, we present a high - performance, resource - efficient hardware architecture for the 256-point Number Theoretic Transform (NTT) core tailored to the CRYSTALS-Dilithium post-quantum signature scheme. Our design introduces three key innovations: (1) a Barrett modular reduction unit that replaces conventional subtraction-based reduction with precomputed constants, achieving a 42% reduction in critical-path delay; (2) a dynamic, algorithmic address resolver that eliminates lookup tables and reduces LUT usage by $\mathbf{1 5. 2 \%}$; and (3) a quad-butterfly pipeline comprising four parallel configurable butterfly units that support both Cooley-Tukey and Gentleman-Sande modes, enabling a fourfold increase in per-cycle throughput. Implemented on FPGA with modulus $q=8,380,417$, the proposed NTT core consumes only $\mathbf{1, 0 3 3}$ slices ($\mathbf{3 9. 3 \%}$ fewer) and 3,189 LUTs (44.1% fewer) compared to state-of-the-art designs, at a modest cost of 28 DSPs and 8 BRAMs. Functional simulation over 512 test points confirms 100% correctness ($\mathbf{R}^{\mathbf{2}}=\mathbf{1. 0}$) across the full coefficient range. The architecture thus offers an attractive balance between throughput, resource utilization, and implementation simplicity, providing a practical foundation for lattice-based cryptosystems on resource constrained platforms.","","979-8-3315-8849-6","10.1109/ICICM66614.2025.11315992","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11315992","Post Quantum Cryptography(PQC);NTT;Hardware design","Technological innovation;Heuristic algorithms;Pipelines;Computer architecture;Transforms;Throughput;Table lookup;Delays;Resource management;Field programmable gate arrays","","","","10","IEEE","1 Jan 2026","17-19 Oct. 2025","17-19 Oct. 2025","IEEE","IEEE Conferences"
"Reinventing EDHOC for the Post-Quantum Era","L. P. Fraile; C. Koulamas; A. P. Fournaris","Industrial Systems Institute, R.C. Athena, Patras, Greece; Industrial Systems Institute, R.C. Athena, Patras, Greece; Industrial Systems Institute, R.C. Athena, Patras, Greece",IEEE Access,"24 Nov 2025","2025","13","","196622","196640","Several lightweight protocols are being developed to secure communication in resource-constrained environments. Ephemeral Diffie-Hellman over COSE (EDHOC) plays a key role in this lightweight protocol family by managing the key establishment process. However, due to the vulnerability of the discrete logarithm problem to Shor’s algorithm, a quantum-resistant replacement for Diffie-Hellman is required. This work examines the quantum-resistant transition of EDHOC, focusing on its multiple authentication methods as a step toward enabling robust post-quantum security for IoT devices. A novel authentication method for EDHOC is introduced, utilizing Key Encapsulation Mechanisms (KEMs) as a replacement for the static Diffie-Hellman (DH) authentication method, providing a post-quantum signature-free alternative. Among existing post-quantum algorithms for both KEMs and signatures, the NIST-standardized ML-KEM offers the fastest implementation at the lowest memory cost, both of which are crucial for resource-constrained devices. While compatible with various post-quantum KEMs, the method can exploit the computational efficiency of ML-KEM to bring a PQ Signature-free EDHOC to highly constrained devices, providing the same security guarantees as classical EDHOC once the handshake is complete. Additionally, an efficient three-message handshake KEM-based EDHOC Initiator Known Responder (IKR) variant is proposed for environments with pre-established peer awareness.","2169-3536","","10.1109/ACCESS.2025.3633843","Framework of the National Recovery and Resilience Plan Greece 2.0, funded by the European Union–NextGenerationEU, under Agreement TAEDR-0535864, project “Greece4.0.”; European Union’s Horizon Europe Research and Innovation Program Secure Open Source Software and Hardware Adaptable Framework (SecOPERA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250931","Constrained embedded systems;EDHOC;post-quantum cryptography transition;KEM-based authentication;lightweight protocols","Authentication;Security;Protocols;Cryptography;Protection;Ciphers;Internet of Things;Schedules;Quantum computing;Media Access Control","","1","","52","CCBY","17 Nov 2025","2025","","IEEE","IEEE Journals"
"Efficient Implementations of AIMer Post-Quantum Signature Scheme for Low-End to High-End IoT Devices","J. Kwon; S. Lee; B. Lee; H. Seo; J. Cho","Security Research Team, Samsung SDS, Seoul, South Korea; Security Research Team, Samsung SDS, Seoul, South Korea; Security Research Team, Samsung SDS, Seoul, South Korea; Department of IT Convergence Engineering, Hansung University, Seoul, South Korea; Security Research Team, Samsung SDS, Seoul, South Korea",IEEE Internet of Things Journal,"6 Nov 2025","2025","12","22","46817","46837","Post-quantum cryptography (PQC) is becoming increasingly critical for securing Internet of Things (IoT) applications against potential threats posed by quantum computers. However, cryptographic schemes based on mathematically hard problems, such as lattice-based constructions, may face reduced security margins due to ongoing cryptanalytic advancements. In IoT use cases requiring long-term deployment without guaranteed secure updates, symmetric-based signature schemes, such as  $\mathsf {SPHINCS+}$ , whose security relies solely on symmetric primitives, are considered robust alternatives. Among these,  $\textsf {AIMer}$ , selected as a finalist in the KpqC competition, is emerging as a promising candidate. This article presents optimized software implementations of  $\textsf {AIMer}$  for various IoT platforms, ranging from low-end to high-end devices. We propose memory-optimized and time–memory tradeoff implementations for resource-constrained ARM Cortex-M4 devices, and single instruction multiple data (SIMD)-accelerated implementations for AArch64 and AVX2 architectures. Furthermore, we conduct a comprehensive performance evaluation comparing our optimized implementations with other PQC signature schemes. Our results show that  $\textsf {AIMer}$  achieves significantly smaller signature sizes and faster key generation and signing compared to  $\mathsf {SPHINCS+}$  across all security levels, making it a viable option for long-term IoT deployment.","2327-4662","","10.1109/JIOT.2025.3597415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11121920","AArch64;AVX2;Cortex-M4;digital signature;implementation;Internet of Things (IoT) security;Korean PQC (KpqC);post-quantum cryptography (PQC)","Internet of Things;Protocols;Reduced instruction set computing;NIST;Digital signatures;Cryptography;Performance evaluation;Quantum computing;Optimization;Single instruction multiple data","","","","68","IEEE","11 Aug 2025","15 Nov.15, 2025","","IEEE","IEEE Journals"
"CBPSPX: A CUDA-Based Batch Parallel Optimization of Post-Quantum Signature SPHINCS+","J. Wu; Y. Yu; Z. Chen; H. Yang; C. Li; Z. Liu","Research Center for Space Computing System, Zhejiang Lab, Hangzhou, China; Research Center for Space Computing System, Zhejiang Lab, Hangzhou, China; Research Center for Space Computing System, Zhejiang Lab, Hangzhou, China; City University of Hong Kong, Pokfulam, Hong Kong; Research Center for Space Computing System, Zhejiang Lab, Hangzhou, China; School of Software Technology, Zhejiang University, Ningbo, China",IEEE Internet of Things Journal,"8 Sep 2025","2025","12","18","37898","37911","Security and privacy are critical in cloud-based Internet of Things (IoT) and Artificial Intelligence of Things (AIoT) applications. As quantum computing advances, post-quantum cryptography (PQC) has emerged as a key technology for ensuring security in future IoT and AIoT architectures. SPHINCS+, a leading post-quantum signature algorithm, has been selected by the National Institute of Standards and Technology (NIST) as one of the next-generation signature standards. However, due to its complex structure and extensive hash operations, SPHINCS+ suffers from slower signature generation and verification compared to other post-quantum algorithms. Consequently, accelerating SPHINCS+ is essential for adapting it to IoT environments. This article presents a compute unified device architecture (CUDA)-based Batch Parallel optimization of SPHINCS+ (CBPSPX), which fully utilizes the computing resources of NVIDIA graphics processing units (GPUs) to enhance the performance of SPHINCS+. Specifically, we propose the thread utilization efficiency index (TUEI), which can be used to theoretically evaluate the effectiveness of various parallel methods. Then, we propose an intrablock batch processing model that dynamically adjusts parallel task scales within a block to optimize throughput, making it particularly suitable for IoT scenarios requiring high-throughput large-scale device authentication. Meanwhile, we divide the signature generation process into three subprocesses and adopt different parallel strategies based on the thread requirements of each subprocess to maximize the value of TUEI. For the signature verification process, we propose a columnar storage strategy to replace the traditional row storage structure, which significantly improves the performance of batch signature verification. Experimental results indicate that our SPHINCS+ implementations across all three parameter sets are better than previous optimized GPU-based implementations and achieve speedups of  $1.4\times $  to  $2.5\times $  for signature generation and  $4.6\times $  to  $11.3\times $  for signature verification on GPU RTX 3090.","2327-4662","","10.1109/JIOT.2025.3585558","National Natural Science Foundation of China(grant numbers:62132008,U22B2030); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220075); Zhejiang Province Key Research and Development Plan(grant numbers:2024SSYS0004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11068129","thread utilization efficiency index (TUEI);graphics processing units (GPUs);Internet of Things (IoT);post-quantum cryptography (PQC);SPHINCS+","Internet of Things;Security;Vegetation;Graphics processing units;Throughput;Cryptography;NIST;Message systems;Handwriting recognition;Quantum computing","","2","","47","IEEE","3 Jul 2025","15 Sept.15, 2025","","IEEE","IEEE Journals"
"MAYo or MAY-not: Exploring Implementation Security of the Post-Quantum Signature Scheme MAYO Against Physical Attacks","T. Aulbach; S. Marzougui; J. -P. Seifert; V. Q. Ulitzsch","University of Regensburg, Germany; STMicroelectronics, Belgium; TU Berlin – SECT, Germany; TU Berlin – SECT, Germany",2024 Workshop on Fault Detection and Tolerance in Cryptography (FDTC),"4 Nov 2024","2024","","","28","33","MAYO is a multivariate signature scheme notable for its efficiency and compact key size. Targeting NIST security level I, MAYO features a public key size of 1168 bytes and a signature size of 321 bytes, making it more compact than leading lattice-based signature schemes like Falcon and Dilithium, thereby easing integration into embedded systems. With the deployment of MAYO in embedded systems, studying the resilience of MAYO implementations against fault injection attacks is of increasing importance. In this paper, we investigate the security of MAYO against fault injection attacks, and present the first end-to-end fault injection attack on the multivariate scheme. The attack introduces a loop-abort fault in the sampling of the vinegar vector. We present two variants: A zero-ing attack, in which the skipped sampling results in an all-zero vinegar vector, and a differential fault attack. In both variants, the faulted signature reveals an oil vector, allowing for full key recovery through techniques borrowed from the reconciliation attack in a few seconds.","2995-0252","979-8-3503-8036-1","10.1109/FDTC64268.2024.00012","Ministry of Education; Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10737868","fault-injection;MAYO;multivariate schemes;post-quantum cryptography","Embedded systems;Oils;Fault detection;Public key;Standardization;NIST;Vectors;Protection;Surface treatment;Resilience","","3","","18","IEEE","4 Nov 2024","4-4 Sept. 2024","4-4 Sept. 2024","IEEE","IEEE Conferences"
"On the Suitability of Post-Quantum Signature Schemes for Internet of Things","K. -A. Shim","Division of Basic Researches for Industrial Mathematics, National Institute for Mathematical Sciences, Daejeon, Republic of Korea",IEEE Internet of Things Journal,"8 Mar 2024","2024","11","6","10648","10665","Public-key cryptography (PKC) provides confidentiality, data integrity, and user authentication. Particularly, nonrepudiation, authentication and integrity of transmitted messages are assured by public-key (PK) signature schemes. Since the presence of a large scale quantum computer would be a real threat to break currently used PK cryptographic algorithms, all security protocols based on the PK cryptographic algorithms are vulnerable to quantum-computer attacks. It needs to investigate possible alternatives, post-quantum cryptography (PQC), believed to be resistant to attacks from both classical and quantum computers. All the traditional PKC should be replaced with PQC for secure communications in post-quantum era. In this work, we evaluate the post-quantum signature schemes in terms of various metrics, performance, signature/key sizes, energy consumption, resistance to implementation attacks and adaptability to Internet protocols. We then investigate their suitability for Internet of Things based on these metrics.","2327-4662","","10.1109/JIOT.2023.3327400","National Institute for Mathematical Sciences; Ministry of Science and ICT of Korea(grant numbers:B23710000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295956","Energy consumption;fault attack;implementation attack;post-quantum signature (PQS);public-key (PK) signature scheme;side-channel attack (SCA)","Internet of Things;Security;Performance evaluation;Cryptography;Program processors;NIST;Standards","","22","","63","IEEE","25 Oct 2023","15 March15, 2024","","IEEE","IEEE Journals"
"Accelerating Falcon on ARMv8","Y. Kim; J. Song; S. C. Seo","Department of Financial Information Security, Kookmin University, Seoul, South Korea; Department of Financial Information Security, Kookmin University, Seoul, South Korea; Department of Financial Information Security, Kookmin University, Seoul, South Korea",IEEE Access,"2 May 2022","2022","10","","44446","44460","Falcon is one of the promising digital-signature algorithms in NIST’s ongoing Post-Quantum Cryptography (PQC) standardization finalist. Computational efficiency regarding software and hardware is also the main criteria for PQC standardization. In this paper, we present an efficient Falcon software implementation on ARMv8 environment. Until now, most of the software optimization on PQC algorithms have been conducted on 32-bit ARM (Cortex-M4) and typical CPUs (Intel and AMD CPUs). However, ARMv8 including Cortex-A30, 50, and 70 series have been widely used for various IoT (Internet of Things) applications, Edge computing devices, and OBUs (On Board Units) in autonomous driving cars. For optimizing the performance of Falcon, we take full advantage of NEON engine which is a kind of parallel processing unit in ARMv8 MCU. The main computation in Falcon belongs to polynomial multiplications in Complex number domain and Integer domain. Typically, FFT (Fast Fourier Transformation)-based multiplication method and NTT (Number Theoriteic Transform)-based multiplication method have been widely used for efficient polynomial multiplications in Complex number domain and Integer domain, respectively. Thus, in order to enhance the overall performance of Falcon, we improve the FFT-based multiplication method and NTT-based multiplication method by utilizing NEON engine in ARMv8. Specifically, we parallelize the overall process (FFT/NTT transformation, pointwise multiplication, and inverse FFT/NTT transformation) of FFT-based polynomial multiplication method and NTT-based polynomial multiplication method with strategically utilizing the NEON engine and vector instructions. Furthermore, we minimize the number of redundant memory accesses during FFT/NTT-based polynomial multiplication by making the most of available registers in NEON engine. Through the proposed parallel FFT/NTT-based polynomial multiplications, the proposed Falcon software provides 15.1% (resp. 18.1%), 16.5% (resp. 17.1%), and 65.4% (resp. 69.4%) of performance improvement in keypair generation, signing, and verification at security level 1 (resp. 5) compared with the reference Falcon implementation submitted to the final round of NIST PQC competition. Furthermore, as far as we know, this is the first optimized implementation of Falcon on ARMv8 environment.","2169-3536","","10.1109/ACCESS.2022.3169784","Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant funded by the Korean Government through Ministry of Science and ICT (MSIT) (6G autonomous security internalization-based technology research to ensure security quality at all times)(grant numbers:A2021-0270); National Research Foundation of Korea (NRF) Grant funded by the Korean Government through MSIT(grant numbers:2022R1C1C1013368); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762260","Falcon;NIST PQC signature;parallel implementation;memory optimization;ARM/NEON processor;ARMv8;Internet of Things","Security;Software;Neon;Engines;Optimization;Cryptography;Software algorithms","","40","","29","CCBY","22 Apr 2022","2022","","IEEE","IEEE Journals"
"Efficient Error Detection Architectures for Postquantum Signature Falcon’s Sampler and KEM SABER","A. Sarker; M. Mozaffari Kermani; R. Azarderakhsh","Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA; Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA; Department of Computer and Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, USA",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"16 May 2022","2022","30","6","794","802","Among the National Institute for Standards and Technology (NIST) postquantum cryptography (PQC) standardization Round 3 finalists (announced in 2020 and anticipated to conclude in 2022–2024), SABER and Falcon are efficient key encapsulation mechanism (KEM) and compact signature scheme, respectively. SABER is a simple and flexible cryptographic scheme, highly suitable for thwarting potential attacks in the postquantum era. Implementing SABER can be performed solely in hardware (HW) or on HW/software coprocessors. On the other hand, the compact key size, efficient design, and strong reliability proof in the quantum random oracle model (QROM) make Falcon a highly suitable signature algorithm for PQC. Although Falcon is crucial as a PQC signature scheme, the utilization of the Gaussian sampler makes it vulnerable to malicious attacks, e.g., fault attacks. This is the first work to present error detection schemes embedded efficiently in SABER as well as Falcon’s sampler architectures, which can detect both transient and permanent faults. Moreover, we implement HW design for the ModFalcon signature algorithm as well as the Gaussian sampler. These schemes are implemented on a formerly Xilinx field-programmable gate array (FPGA) family, for both SABER and Falcon variants, where we assess the error coverage and the performance. The proposed schemes incur low overhead (the area, delay, and power overheads being 22.59%, 19.77%, and 10.67%, respectively, in the worst case) while providing a high fault detection rate (99.9975% in the worst case scenario), making them suitable for high efficiency and compact HW implementations of constrained applications.","1557-9999","","10.1109/TVLSI.2022.3156479","U.S. National Science Foundation (NSF)(grant numbers:SaTC-1801488); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9736448","Field-programmable gate array (FPGA);key encapsulation mechanisms (KEM);learning with errors (LWEs);learning with rounding (LWR);postquantum cryptography (PQC);quantum random oracle model (QROM)","Computer architecture;Cryptography;Circuit faults;NIST;Lattices;Field programmable gate arrays;Encryption","","32","","25","IEEE","16 Mar 2022","June 2022","","IEEE","IEEE Journals"
